DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD,RESM,SP
M,IN,IN,G/C3,G/C3,US/F,GAPI,V/V,OHMM,OHMM,MV
46.1772,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.3296,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.482,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.6344,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.7868,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.9392,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.0916,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.244,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.3964,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.5488,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.7012,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.8536,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.006,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.1584,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.3108,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.4632,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.6156,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.768,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.9204,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.0728,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.2252,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.3776,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.53,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.6824,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.8348,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.9872,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.1396,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.292,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.4444,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.5968,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.7492,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.9016,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.054,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.2064,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.3588,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.5112,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.6636,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.816,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.9684,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.1208,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.2732,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.4256,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.578,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.7304,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.8828,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.0352,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.1876,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.34,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.4924,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.6448,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.7972,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.9496,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.102,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.2544,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.4068,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.5592,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.7116,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.864,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.0164,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.1688,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.3212,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.4736,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.626,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.7784,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.9308,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.0832,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.2356,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.388,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.5404,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.6928,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.8452,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.9976,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.15,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.3024,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.4548,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.6072,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.7596,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.912,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
